datetime,trw_high,trw_low,y_hat_high,y_hat_low
2010-06-24 13:30:00,3.814129,3.64413,3.803270584777925,3.6240123543624354
2010-07-06 13:30:00,3.5432980000000005,3.239968,3.6193906508833953,3.5068077756091194
2010-07-12 13:30:00,3.946627,3.823295,3.834262913648759,3.732938595759687
2010-07-13 13:30:00,3.945127,3.818296,3.9877872034413504,3.8273146461706746
2010-07-30 13:30:00,4.244123,4.083293,4.135182140698785,3.9428449495263624
2010-08-02 13:30:00,4.209124,4.101626,4.276668604279217,4.246031122072502
2010-08-06 13:30:00,4.259124,4.163293,4.18582945698199,4.144409675289416
2010-08-09 13:30:00,4.227458,4.052459,4.422331100136852,4.326429837855635
2010-08-11 13:30:00,3.784078,3.6332980000000004,3.996911645497985,3.817810848789528
2010-08-18 13:30:00,3.843295,3.627464,4.048005329492741,3.907346958911418
2010-09-02 13:30:00,3.989127,3.8782940000000004,4.021005213787739,3.959992847782642
2010-09-07 13:30:00,3.9624599999999996,3.854961,4.029759002954528,3.9381388987133286
2010-09-08 13:30:00,4.054125,3.934961,4.15437397625978,4.055515347981644
2010-09-13 13:30:00,4.229957,4.094126,4.250620265724811,4.080796252565799
2010-09-16 13:30:00,4.277457,4.172459,4.344380215411815,4.29831967254441
2010-09-28 13:30:00,4.479113,4.375789,4.535485196983681,4.338441625525935
2010-10-11 13:30:00,4.762452,4.553287999999999,4.813730143373302,4.664589014361021
2010-10-14 13:30:00,4.8824510000000005,4.694953,4.858766758333682,4.708731758463668
2010-10-20 13:30:00,4.95765,4.726619,4.869909181893963,4.76277412166119
2010-11-02 13:30:00,5.097449,4.902451,5.171692943149246,5.022351424439788
2010-11-04 13:30:00,5.468279,5.37078,5.360025658111396,5.221443820129845
2010-11-22 14:30:00,4.982449,4.855785,5.260722699406945,5.118409839486764
2010-11-23 14:30:00,5.142449,5.003282,4.9889338226803694,4.814218495448349
2010-11-30 14:30:00,5.255782,5.122449,4.996371762029196,4.908005748361477
2010-12-08 14:30:00,5.615777,5.499944999999999,5.511461239898812,5.354697609238751
2010-12-09 14:30:00,5.69161,5.573278,5.623366976066046,5.401006061358645
2010-12-17 14:30:00,5.826608,5.703276,5.894900216549814,5.706016830701786
2010-12-30 14:30:00,5.966608,5.893473999999999,6.126183065497646,5.988238066168826
2011-01-11 14:30:00,6.364103,6.262437,6.302185272249791,6.113104655750128
2011-01-20 14:30:00,6.405769,6.264104,6.37144713136413,6.158336814578439
2011-01-25 14:30:00,6.547435,6.420852,6.487107198671081,6.308884762322784
2011-01-27 14:30:00,6.602434,6.181604,6.605763540740787,6.443663117731552
2011-01-31 14:30:00,6.681599,6.459101,6.4406522901757715,6.247387112353143
2011-02-03 14:30:00,6.72235,6.579935000000001,6.78258228161751,6.615722476142769
2011-02-04 14:30:00,6.910763,6.76215,6.868625874992225,6.6916114137710245
2011-02-07 14:30:00,6.946597,6.807432,6.886906301375547,6.701293471043312
2011-02-09 14:30:00,6.926597,6.743266,6.997724581493385,6.775654674798001
2011-02-10 14:30:00,7.0599289999999995,6.824930999999999,6.941097603974335,6.82175108327513
2011-02-11 14:30:00,7.107428,7.009930000000001,7.078846794845028,6.924350837331723
2011-02-18 14:30:00,7.1457619999999995,6.753349000000001,7.259152296535525,7.126951063613898
2011-02-25 14:30:00,7.039096000000001,6.88743,6.890503555823203,6.685893869212612
2011-03-03 14:30:00,7.056595,6.763274000000001,7.12837414290336,6.970012467525368
2011-03-07 14:30:00,6.958264,6.6632679999999995,6.907083591924704,6.655979404295927
2011-03-09 14:30:00,6.6490990000000005,6.464103,6.898658546860028,6.69311755630247
2011-03-14 13:30:00,6.396602,5.9599400000000005,6.606192648977078,6.371787071760175
2011-03-25 13:30:00,6.863264999999999,6.7107660000000005,6.898696772341508,6.698493250458581
2011-03-29 13:30:00,7.058263,6.932430999999999,6.901650039495286,6.713164648240187
2011-03-30 13:30:00,7.039096000000001,6.958264,7.137352386751235,6.876535860361636
2011-03-31 13:30:00,7.166595,7.026597,7.150194011364472,6.875582819034576
2011-04-08 13:30:00,7.1057619999999995,6.8899300000000006,7.1440360606978315,6.9465440257648
2011-04-11 13:30:00,6.868264999999999,6.7107660000000005,7.146204300522039,6.9168822358361215
2011-04-12 13:30:00,6.899931,6.712433,6.929212081064105,6.708388521999396
2011-04-26 13:30:00,7.494925,7.274093,7.407346050911738,7.228896400594994
2011-04-28 13:30:00,7.616391,7.517508,7.560576565476848,7.394287766253439
2011-05-02 13:30:00,7.544841,7.334092,7.645509869556715,7.426269569241836
2011-05-06 13:30:00,7.366592,7.183261999999999,7.317071317131534,7.1214596763203035
2011-05-10 13:30:00,7.474925,7.158728,7.523745945019369,7.364303060373172
2011-05-11 13:30:00,7.404093,7.087028999999999,7.314050776579226,7.133766819941778
2011-05-19 13:30:00,7.249095,7.0582460000000005,7.317071317131534,7.142358794202506
2011-05-20 13:30:00,6.91743,6.780931,7.212202234272802,7.032706258585985
2011-05-26 13:30:00,7.154096000000001,7.050763000000001,7.096149994717423,6.8801089629817564
2011-05-27 13:30:00,7.316594,7.1457619999999995,7.164954977012462,7.038135318703771
2011-06-01 13:30:00,6.891597999999999,6.6891,7.024371715361629,6.648326789716908
2011-06-08 13:30:00,6.491601,6.284937,6.43808913850214,6.166187032583309
2011-06-10 13:30:00,6.233271,6.054105,6.326463477035266,6.068412624376886
2011-06-17 13:30:00,6.257446,6.067439,6.256673593273428,6.083800789117841
2011-07-06 13:30:00,7.474842999999999,7.347009,7.250317301455568,7.101285461200421
