datetime,true_high,true_low,y_hat_high,y_hat_low
1994-08-11 13:30:00,46.34375,46.04687,46.52272203315166,46.20889786747909
1994-08-19 13:30:00,46.4375,46.28125,46.9539827719811,46.66221025810906
1994-08-22 13:30:00,46.85937,46.51562,46.92411932317998,46.66221025810906
1994-08-24 13:30:00,47.20312,46.89062,47.22898004744475,47.008689181550565
1994-08-26 13:30:00,47.98437,47.64062,47.42389235816774,47.21622284032699
1994-09-01 13:30:00,47.71875,47.21875,47.69069573765181,47.508163323314875
1994-09-12 13:30:00,47.125,46.85937,47.30491678582966,46.906455244736925
1994-09-14 13:30:00,47.64062,47.17187,47.20477375957509,46.92561507772366
1994-09-16 13:30:00,47.32812,47.01562,47.39271107763135,47.2788135084929
1994-09-22 13:30:00,46.17187,45.82812,46.52272203315166,46.27237606814707
1994-09-28 13:30:00,46.46875,46.09375,46.9539827719811,46.66221025810906
1994-10-03 13:30:00,46.29687,45.34375,46.52272203315166,46.20889786747909
1994-10-04 13:30:00,45.39062,45.0,46.37844817522484,46.092412224973586
1994-10-06 13:30:00,45.57812,45.20312,46.29080838870553,45.98358801875
1994-10-11 13:30:00,46.75,46.57812,46.83697906253012,46.76395236580065
1994-10-12 13:30:00,47.32812,46.79687,47.20477375957509,46.76395236580065
1994-10-20 13:30:00,46.6875,46.35937,47.22560637225516,46.906455244736925
1994-10-28 13:30:00,47.59375,47.46875,47.48746041373551,47.154943892824456
1994-11-01 14:30:00,47.23437,46.6875,47.56679273886337,47.286316996493284
1994-11-07 14:30:00,46.98437,46.54687,47.02432575783816,46.66221025810906
1994-11-09 14:30:00,47.03125,46.54687,47.22560637225516,46.906455244736925
1994-11-15 14:30:00,46.84375,46.60937,47.20477375957509,46.906455244736925
1994-11-21 14:30:00,46.0,45.0,46.553977142129845,46.27237606814707
1994-11-22 14:30:00,45.26562,44.60937,46.37844817522484,45.99446699245882
1994-11-29 14:30:00,45.95312,45.59375,46.29080838870553,46.021574708253574
1994-12-05 14:30:00,45.65625,45.35937,46.29080838870553,45.98358801875
1994-12-07 14:30:00,45.5625,44.75,46.29080838870553,45.98358801875
1994-12-08 14:30:00,45.07812,44.6875,46.29080838870553,45.98358801875
1994-12-12 14:30:00,45.53125,45.3125,46.29080838870553,45.98358801875
1994-12-15 14:30:00,45.84375,45.625,46.42221656318366,46.19273811470264
1994-12-22 14:30:00,46.17187,45.98437,46.52272203315166,46.20889786747909
1994-12-23 14:30:00,46.40625,46.1875,46.52272203315166,46.20889786747909
1994-12-30 14:30:00,45.84375,45.6875,46.38295482192817,46.039833369670944
1995-01-03 14:30:00,46.0,45.75,46.330054010702895,46.18185914099382
1995-01-04 14:30:00,46.10937,45.95312,46.52272203315166,46.20889786747909
1995-01-06 14:30:00,46.09375,46.0,46.52272203315166,46.20889786747909
1995-01-23 14:30:00,46.75,46.64062,46.83697906253012,46.76395236580065
1995-01-24 14:30:00,47.04687,46.51562,47.20477375957509,46.76395236580065
1995-01-26 14:30:00,47.23437,46.92187,47.20477375957509,46.76395236580065
1995-02-07 14:30:00,48.46875,48.20312,48.42326593397621,48.23724883507645
1995-02-10 14:30:00,48.46875,48.32812,48.62209923005931,48.41636171816021
1995-02-22 14:30:00,49.15625,48.85937,48.882309072657826,48.56267020347702
1995-02-24 14:30:00,49.0,48.53125,49.16214968293081,48.77210285711078
1995-03-03 14:30:00,48.8125,48.39062,48.909718169915436,48.57374573572911
1995-03-07 14:30:00,48.625,48.34375,48.97076815779786,48.585312840365255
1995-03-14 14:30:00,49.57812,49.29687,49.713009400426344,49.48194069722463
1995-03-15 14:30:00,49.8125,49.4375,49.7546704690177,49.50975196430946
1995-03-29 14:30:00,50.51562,50.10937,50.91100744577073,50.32838216656493
1995-03-30 14:30:00,50.17187,49.54687,50.91100744577073,50.26820038019874
1995-04-05 13:30:00,50.79687,50.59375,50.95900930064154,50.55628418785014
1995-04-12 13:30:00,51.09375,50.85937,51.04935001025565,50.7434150971475
1995-04-17 13:30:00,50.82812,50.48437,51.447092706039044,51.07701340285172
1995-04-19 13:30:00,50.78125,50.4375,51.258141448564565,50.85765762351879
1995-04-24 13:30:00,51.48437,51.3125,51.595921497187305,51.068617559671466
1995-04-25 13:30:00,51.42187,51.125,51.66085132610736,51.36027485967557
1995-05-10 13:30:00,52.71875,52.48437,52.84050097158473,52.37189945269062
1995-05-12 13:30:00,53.0,52.78125,53.18821655321468,52.54112047743509
1995-05-15 13:30:00,53.15625,52.89062,53.20880478103866,52.54112047743509
1995-05-26 13:30:00,52.82812,52.375,53.20455800911384,52.71236333243528
1995-06-08 13:30:00,53.32812,52.75,53.838560979202235,53.55740478392519
1995-06-09 13:30:00,53.57812,53.20312,53.715857319262106,53.1616783731191
1995-06-15 13:30:00,53.96875,53.70312,54.72762020181342,54.02566306126222
1995-06-23 13:30:00,54.95312,54.35937,55.56804209082218,55.11409420222773
1995-06-26 13:30:00,54.70312,54.21875,55.56804209082218,54.967815947713746
1995-06-28 13:30:00,54.67187,54.0625,54.93280351839821,54.74774339889298
1995-06-29 13:30:00,54.73437,54.29687,55.28387880957816,54.85219523783449
1995-07-03 13:30:00,55.0625,54.64062,55.04378825600666,54.85219523783449
1995-07-12 13:30:00,56.26562,56.03125,56.35003950728528,55.940785844153936
1995-07-13 13:30:00,56.09375,55.75,56.39933572096162,55.951907732335755
1995-07-20 13:30:00,55.625,55.1875,55.86981225693978,55.280274856287534
1995-07-24 13:30:00,56.3125,55.70312,55.86981225693978,55.280274856287534
